date,vaccine,total_vaccinations,location
2021-05-31,Pfizer/BioNTech,2192246,Switzerland
2021-06-01,Pfizer/BioNTech,2227742,Switzerland
2021-06-02,Pfizer/BioNTech,2258660,Switzerland
2021-06-03,Pfizer/BioNTech,2283168,Switzerland
2021-06-04,Pfizer/BioNTech,2308488,Switzerland
2021-06-05,Pfizer/BioNTech,2326461,Switzerland
2021-06-06,Pfizer/BioNTech,2334010,Switzerland
2021-06-07,Pfizer/BioNTech,2357522,Switzerland
2021-06-08,Pfizer/BioNTech,2382180,Switzerland
2021-06-09,Pfizer/BioNTech,2406534,Switzerland
2021-06-10,Pfizer/BioNTech,2428509,Switzerland
2021-06-11,Pfizer/BioNTech,2453687,Switzerland
2021-06-12,Pfizer/BioNTech,2471273,Switzerland
2021-06-13,Pfizer/BioNTech,2478754,Switzerland
2021-06-14,Pfizer/BioNTech,2500481,Switzerland
2021-06-15,Pfizer/BioNTech,2521348,Switzerland
2021-06-16,Pfizer/BioNTech,2539767,Switzerland
2021-06-17,Pfizer/BioNTech,2558297,Switzerland
2021-06-18,Pfizer/BioNTech,2578235,Switzerland
2021-06-19,Pfizer/BioNTech,2593818,Switzerland
2021-06-20,Pfizer/BioNTech,2598651,Switzerland
2021-06-21,Pfizer/BioNTech,2615669,Switzerland
2021-06-22,Pfizer/BioNTech,2631583,Switzerland
2021-06-23,Pfizer/BioNTech,2646319,Switzerland
2021-06-24,Pfizer/BioNTech,2661222,Switzerland
2021-06-25,Pfizer/BioNTech,2678342,Switzerland
2021-06-26,Pfizer/BioNTech,2688486,Switzerland
2021-06-27,Pfizer/BioNTech,2693261,Switzerland
2021-06-28,Pfizer/BioNTech,2705623,Switzerland
2021-06-29,Pfizer/BioNTech,2719822,Switzerland
2021-06-30,Pfizer/BioNTech,2733778,Switzerland
2021-07-01,Pfizer/BioNTech,2745735,Switzerland
2021-07-02,Pfizer/BioNTech,2756443,Switzerland
2021-07-03,Pfizer/BioNTech,2764133,Switzerland
2021-07-04,Pfizer/BioNTech,2767241,Switzerland
2021-07-05,Pfizer/BioNTech,2779750,Switzerland
2021-07-06,Pfizer/BioNTech,2791340,Switzerland
2021-07-07,Pfizer/BioNTech,2803357,Switzerland
